사건,신고,출동,구조,복귀,신고시각,출동시각,현장도착시각,구조완료시각,복귀시각,계절명,사고원인명,현장시군구명,소방서명
34,0:02,0:02,0:05,0:17,2023.1.7 3:24,2023.1.7 3:26,2023.1.7 3:28,2023.1.7 3:33,2023.1.7 3:50,겨울,기타 수난 ,용산구,119특수구조단
35,0:01,0:12,0:02,0:17,2023.1.7 7:53,2023.1.7 7:54,2023.1.7 8:06,2023.1.7 8:08,2023.1.7 8:25,겨울,익수,송파구,송파소방서
36,0:01,0:02,0:12,0:07,2023.1.7 7:53,2023.1.7 7:54,2023.1.7 7:56,2023.1.7 8:08,2023.1.7 8:15,겨울,기타 수난 ,송파구,119특수구조단
37,0:01,0:03,0:01,0:07,2023.1.7 15:38,2023.1.7 15:39,2023.1.7 15:42,2023.1.7 15:43,2023.1.7 15:50,겨울,기타 수난 ,강동구,119특수구조단
38,0:00,0:05,0:03,0:12,2023.1.7 19:35,2023.1.7 19:35,2023.1.7 19:40,2023.1.7 19:43,2023.1.7 19:55,겨울,기타 수난 ,서초구,서초소방서
39,0:00,0:02,0:02,0:06,2023.1.7 19:35,2023.1.7 19:35,2023.1.7 19:37,2023.1.7 19:39,2023.1.7 19:45,겨울,기타 수난 ,서초구,119특수구조단
40,0:01,0:05,0:00,0:03,2023.1.7 19:41,2023.1.7 19:42,2023.1.7 19:47,2023.1.7 19:47,2023.1.7 19:50,겨울,익수,강동구,강동소방서
41,0:01,0:05,0:00,0:08,2023.1.7 19:41,2023.1.7 19:42,2023.1.7 19:47,2023.1.7 19:47,2023.1.7 19:55,겨울,익수,강동구,강동소방서
42,0:01,0:03,0:00,0:05,2023.1.7 19:41,2023.1.7 19:42,2023.1.7 19:45,2023.1.7 19:45,2023.1.7 19:50,겨울,기타 수난 ,강동구,119특수구조단
43,0:00,0:05,0:07,0:08,2023.1.7 23:35,2023.1.7 23:35,2023.1.7 23:40,2023.1.7 23:47,2023.1.7 23:55,겨울,기타 수난 ,용산구,119특수구조단
44,0:01,0:05,0:02,0:17,2023.1.8 2:20,2023.1.8 2:21,2023.1.8 2:26,2023.1.8 2:28,2023.1.8 2:45,겨울,기타 수난 ,서초구,서초소방서
45,0:01,0:01,0:08,0:05,2023.1.8 2:20,2023.1.8 2:21,2023.1.8 2:22,2023.1.8 2:30,2023.1.8 2:35,겨울,기타 수난 ,서초구,119특수구조단
46,0:01,0:01,0:04,0:10,2023.1.8 3:24,2023.1.8 3:25,2023.1.8 3:26,2023.1.8 3:30,2023.1.8 3:40,겨울,기타 수난 ,성동구,119특수구조단
47,0:01,0:03,0:03,0:21,2023.1.8 11:37,2023.1.8 11:38,2023.1.8 11:41,2023.1.8 11:44,2023.1.8 12:05,겨울,기타 수난 ,마포구,119특수구조단
48,0:03,0:00,0:00,0:02,2023.1.8 12:08,2023.1.8 12:11,2023.1.8 12:11,2023.1.8 12:11,2023.1.8 12:13,겨울,사체인양,용산구,마포소방서
49,0:03,0:06,0:15,0:08,2023.1.8 12:08,2023.1.8 12:11,2023.1.8 12:17,2023.1.8 12:32,2023.1.8 12:40,겨울,사체인양,용산구,119특수구조단
50,0:01,0:04,0:43,0:10,2023.1.8 18:52,2023.1.8 18:53,2023.1.8 18:57,2023.1.8 19:40,2023.1.8 19:50,겨울,기타 수난 ,영등포구,영등포소방서
51,0:01,0:05,0:47,0:20,2023.1.8 18:52,2023.1.8 18:53,2023.1.8 18:58,2023.1.8 19:45,2023.1.8 20:05,겨울,기타 수난 ,영등포구,영등포소방서
52,0:01,0:04,0:48,0:25,2023.1.8 18:52,2023.1.8 18:53,2023.1.8 18:57,2023.1.8 19:45,2023.1.8 20:10,겨울,사체인양,영등포구,119특수구조단
53,0:02,0:12,0:12,0:10,2023.1.8 21:04,2023.1.8 21:06,2023.1.8 21:18,2023.1.8 21:30,2023.1.8 21:40,겨울,기타 수난 ,동작구,관악소방서
54,0:02,0:12,0:04,0:08,2023.1.8 21:04,2023.1.8 21:06,2023.1.8 21:18,2023.1.8 21:22,2023.1.8 21:30,겨울,수색,동작구,119특수구조단
55,0:02,0:06,0:05,0:10,2023.1.8 23:12,2023.1.8 23:14,2023.1.8 23:20,2023.1.8 23:25,2023.1.8 23:35,겨울,기타 수난 ,송파구,강동소방서
56,0:02,0:05,0:09,0:10,2023.1.9 3:44,2023.1.9 3:46,2023.1.9 3:51,2023.1.9 4:00,2023.1.9 4:10,겨울,침수,구로구,구로소방서
57,0:01,0:05,0:08,0:05,2023.1.9 6:01,2023.1.9 6:02,2023.1.9 6:07,2023.1.9 6:15,2023.1.9 6:20,겨울,수색,동작구,119특수구조단
58,0:05,0:07,0:09,0:05,2023.1.9 11:49,2023.1.9 11:54,2023.1.9 12:01,2023.1.9 12:10,2023.1.9 12:15,겨울,기타 수난 ,강서구,119특수구조단
59,0:05,0:08,1:02,0:10,2023.1.9 12:55,2023.1.9 13:00,2023.1.9 13:08,2023.1.9 14:10,2023.1.9 14:20,겨울,기타 수난 ,용산구,119특수구조단
60,0:01,0:12,0:04,0:04,2023.1.9 17:49,2023.1.9 17:50,2023.1.9 18:02,2023.1.9 18:06,2023.1.9 18:10,겨울,익수,구로구,구로소방서
