사건,신고,출동,구조,복귀,신고시각,출동시각,현장도착시각,구조완료시각,복귀시각,계절명,사고원인명,현장시군구명,소방서명
620,0:00,0:03,0:00,0:11,2023.3.7 1:13,2023.3.7 1:13,2023.3.7 1:16,2023.3.7 1:16,2023.3.7 1:27,봄,기타 수난 ,마포구,마포소방서
621,0:00,0:05,0:00,0:12,2023.3.7 1:13,2023.3.7 1:13,2023.3.7 1:18,2023.3.7 1:18,2023.3.7 1:30,봄,기타 수난 ,마포구,119특수구조단
622,0:00,0:10,0:00,0:02,2023.3.7 1:13,2023.3.7 1:13,2023.3.7 1:23,2023.3.7 1:23,2023.3.7 1:25,봄,기타 수난 ,마포구,119특수구조단
623,0:01,0:06,0:04,0:09,2023.3.7 2:50,2023.3.7 2:51,2023.3.7 2:57,2023.3.7 3:01,2023.3.7 3:10,봄,기타 수난 ,송파구,강동소방서
624,0:01,0:06,0:04,0:14,2023.3.7 2:50,2023.3.7 2:51,2023.3.7 2:57,2023.3.7 3:01,2023.3.7 3:15,봄,기타 수난 ,송파구,송파소방서
625,0:01,0:06,0:04,0:09,2023.3.7 2:50,2023.3.7 2:51,2023.3.7 2:57,2023.3.7 3:01,2023.3.7 3:10,봄,기타 수난 ,송파구,송파소방서
626,0:01,1:00,0:00,0:00,2023.3.7 9:29,2023.3.7 9:30,2023.3.7 10:30,2023.3.7 10:30,2023.3.7 10:30,봄,수색,강동구,119특수구조단
627,0:01,0:03,0:07,0:13,2023.3.7 12:05,2023.3.7 12:06,2023.3.7 12:09,2023.3.7 12:16,2023.3.7 12:29,봄,기타 수난 ,마포구,마포소방서
628,0:01,0:00,0:58,0:00,2023.3.7 14:21,2023.3.7 14:22,2023.3.7 14:22,2023.3.7 15:20,2023.3.7 15:20,봄,수색,강동구,119특수구조단
629,0:03,0:02,0:09,0:09,2023.3.7 16:02,2023.3.7 16:05,2023.3.7 16:07,2023.3.7 16:16,2023.3.7 16:25,봄,고립,마포구,119특수구조단
630,0:01,0:03,0:07,0:15,2023.3.7 17:34,2023.3.7 17:35,2023.3.7 17:38,2023.3.7 17:45,2023.3.7 18:00,봄,기타 수난 ,용산구,용산소방서
631,0:01,0:05,0:03,0:03,2023.3.7 17:39,2023.3.7 17:40,2023.3.7 17:45,2023.3.7 17:48,2023.3.7 17:51,봄,기타 수난 ,마포구,마포소방서
632,0:01,0:05,0:02,0:13,2023.3.7 20:48,2023.3.7 20:49,2023.3.7 20:54,2023.3.7 20:56,2023.3.7 21:09,봄,기타 수난 ,송파구,광진소방서
633,0:04,0:01,0:04,0:25,2023.3.7 21:46,2023.3.7 21:50,2023.3.7 21:51,2023.3.7 21:55,2023.3.7 22:20,봄,기타 수난 ,송파구,119특수구조단
634,0:01,0:06,0:06,0:07,2023.3.7 22:43,2023.3.7 22:44,2023.3.7 22:50,2023.3.7 22:56,2023.3.7 23:03,봄,기타 수난 ,마포구,영등포소방서
635,0:01,0:06,0:00,0:14,2023.3.7 22:43,2023.3.7 22:44,2023.3.7 22:50,2023.3.7 22:50,2023.3.7 23:04,봄,기타 수난 ,마포구,영등포소방서
636,0:01,0:06,0:00,0:00,2023.3.7 22:43,2023.3.7 22:44,2023.3.7 22:50,2023.3.7 22:50,2023.3.7 22:50,봄,기타 수난 ,마포구,마포소방서
637,0:02,0:05,0:00,0:07,2023.3.7 22:53,2023.3.7 22:55,2023.3.7 23:00,2023.3.7 23:00,2023.3.7 23:07,봄,기타 수난 ,마포구,마포소방서
638,0:02,0:05,0:10,0:15,2023.3.8 2:43,2023.3.8 2:45,2023.3.8 2:50,2023.3.8 3:00,2023.3.8 3:15,봄,기타 수난 ,동작구,용산소방서
639,0:01,0:04,0:00,0:03,2023.3.8 3:52,2023.3.8 3:53,2023.3.8 3:57,2023.3.8 3:57,2023.3.8 4:00,봄,기타 수난 ,마포구,영등포소방서
640,0:02,0:05,0:00,0:09,2023.3.8 4:54,2023.3.8 4:56,2023.3.8 5:01,2023.3.8 5:01,2023.3.8 5:10,봄,기타 수난 ,마포구,영등포소방서
641,0:01,0:05,0:06,0:06,2023.3.8 6:07,2023.3.8 6:08,2023.3.8 6:13,2023.3.8 6:19,2023.3.8 6:25,봄,기타 수난 ,서초구,용산소방서
642,0:01,0:05,0:06,0:11,2023.3.8 6:07,2023.3.8 6:08,2023.3.8 6:13,2023.3.8 6:19,2023.3.8 6:30,봄,기타 수난 ,서초구,서초소방서
643,0:02,0:04,0:06,0:05,2023.3.8 6:08,2023.3.8 6:10,2023.3.8 6:14,2023.3.8 6:20,2023.3.8 6:25,봄,기타 수난 ,성동구,119특수구조단
644,0:01,0:15,0:01,0:03,2023.3.8 7:50,2023.3.8 7:51,2023.3.8 8:06,2023.3.8 8:07,2023.3.8 8:10,봄,기타 수난 ,중랑구,중랑소방서
645,0:01,0:07,0:04,0:10,2023.3.8 9:03,2023.3.8 9:04,2023.3.8 9:11,2023.3.8 9:15,2023.3.8 9:25,봄,기타 수난 ,마포구,마포소방서
646,0:01,0:02,0:14,0:05,2023.3.8 9:03,2023.3.8 9:04,2023.3.8 9:06,2023.3.8 9:20,2023.3.8 9:25,봄,기타 수난 ,마포구,119특수구조단
647,0:01,0:08,0:30,0:00,2023.3.8 9:31,2023.3.8 9:32,2023.3.8 9:40,2023.3.8 10:10,2023.3.8 10:10,봄,기타 수난 ,강동구,119특수구조단
648,0:02,0:01,0:24,0:05,2023.3.8 10:13,2023.3.8 10:15,2023.3.8 10:16,2023.3.8 10:40,2023.3.8 10:45,봄,수색,서초구,119특수구조단
649,0:01,0:01,0:28,0:05,2023.3.8 14:10,2023.3.8 14:11,2023.3.8 14:12,2023.3.8 14:40,2023.3.8 14:45,봄,수색,서초구,119특수구조단
650,0:01,0:05,0:03,0:08,2023.3.8 14:23,2023.3.8 14:24,2023.3.8 14:29,2023.3.8 14:32,2023.3.8 14:40,봄,수색,마포구,영등포소방서
651,0:01,0:02,0:04,0:30,2023.3.8 14:23,2023.3.8 14:24,2023.3.8 14:26,2023.3.8 14:30,2023.3.8 15:00,봄,기타 수난 ,마포구,119특수구조단
652,0:03,0:03,0:02,0:10,2023.3.8 14:42,2023.3.8 14:45,2023.3.8 14:48,2023.3.8 14:50,2023.3.8 15:00,봄,기타 수난 ,마포구,마포소방서
653,0:00,0:03,0:02,0:13,2023.3.8 14:42,2023.3.8 14:42,2023.3.8 14:45,2023.3.8 14:47,2023.3.8 15:00,봄,기타 수난 ,마포구,119특수구조단
654,0:01,0:05,0:05,0:05,2023.3.8 14:54,2023.3.8 14:55,2023.3.8 15:00,2023.3.8 15:05,2023.3.8 15:10,봄,기타 수난 ,서초구,119특수구조단
655,0:01,0:07,0:30,0:00,2023.3.8 16:22,2023.3.8 16:23,2023.3.8 16:30,2023.3.8 17:00,2023.3.8 17:00,봄,기타 수난 ,강동구,119특수구조단
656,0:02,0:03,0:00,0:04,2023.3.8 17:31,2023.3.8 17:33,2023.3.8 17:36,2023.3.8 17:36,2023.3.8 17:40,봄,기타 수난 ,마포구,영등포소방서
657,0:02,0:03,0:04,0:05,2023.3.8 17:31,2023.3.8 17:33,2023.3.8 17:36,2023.3.8 17:40,2023.3.8 17:45,봄,기타 수난 ,마포구,마포소방서
658,0:00,0:01,0:03,0:05,2023.3.8 17:31,2023.3.8 17:31,2023.3.8 17:32,2023.3.8 17:35,2023.3.8 17:40,봄,기타 수난 ,마포구,119특수구조단
659,0:01,0:08,0:03,0:13,2023.3.8 18:33,2023.3.8 18:34,2023.3.8 18:42,2023.3.8 18:45,2023.3.8 18:58,봄,기타 수난 ,영등포구,영등포소방서
660,0:04,0:06,1:19,0:23,2023.3.8 18:48,2023.3.8 18:52,2023.3.8 18:58,2023.3.8 20:17,2023.3.8 20:40,봄,수색,서초구,서초소방서
661,0:00,0:05,0:00,0:00,2023.3.8 19:25,2023.3.8 19:25,2023.3.8 19:30,2023.3.8 19:30,2023.3.8 19:30,봄,수색,동작구,동작소방서
662,0:00,0:05,0:10,0:10,2023.3.8 19:25,2023.3.8 19:25,2023.3.8 19:30,2023.3.8 19:40,2023.3.8 19:50,봄,기타 수난 ,동작구,119특수구조단
663,0:02,0:05,0:00,0:10,2023.3.8 19:48,2023.3.8 19:50,2023.3.8 19:55,2023.3.8 19:55,2023.3.8 20:05,봄,기타 수난 ,강동구,강동소방서
664,0:02,0:06,0:10,0:10,2023.3.8 22:25,2023.3.8 22:27,2023.3.8 22:33,2023.3.8 22:43,2023.3.8 22:53,봄,기타 수난 ,용산구,용산소방서
665,0:02,0:02,0:04,0:02,2023.3.8 22:25,2023.3.8 22:27,2023.3.8 22:29,2023.3.8 22:33,2023.3.8 22:35,봄,기타 수난 ,용산구,119특수구조단
666,0:01,0:04,0:05,0:20,2023.3.8 22:25,2023.3.8 22:26,2023.3.8 22:30,2023.3.8 22:35,2023.3.8 22:55,봄,기타 수난 ,용산구,119특수구조단
667,0:01,0:06,0:03,0:09,2023.3.9 0:26,2023.3.9 0:27,2023.3.9 0:33,2023.3.9 0:36,2023.3.9 0:45,봄,기타 수난 ,마포구,마포소방서
668,0:01,0:02,0:03,0:08,2023.3.9 0:26,2023.3.9 0:27,2023.3.9 0:29,2023.3.9 0:32,2023.3.9 0:40,봄,기타 수난 ,마포구,119특수구조단
669,0:01,0:07,0:00,0:09,2023.3.9 3:38,2023.3.9 3:39,2023.3.9 3:46,2023.3.9 3:46,2023.3.9 3:55,봄,기타 수난 ,송파구,강남소방서
670,0:01,0:07,0:04,0:10,2023.3.9 3:38,2023.3.9 3:39,2023.3.9 3:46,2023.3.9 3:50,2023.3.9 4:00,봄,익수,송파구,강동소방서
671,0:01,0:07,0:00,0:14,2023.3.9 3:38,2023.3.9 3:39,2023.3.9 3:46,2023.3.9 3:46,2023.3.9 4:00,봄,기타 수난 ,송파구,송파소방서
672,0:01,0:07,0:04,0:10,2023.3.9 3:38,2023.3.9 3:39,2023.3.9 3:46,2023.3.9 3:50,2023.3.9 4:00,봄,기타 수난 ,송파구,119특수구조단
673,0:01,0:07,0:07,0:07,2023.3.9 3:38,2023.3.9 3:39,2023.3.9 3:46,2023.3.9 3:53,2023.3.9 4:00,봄,기타 수난 ,송파구,119특수구조단
674,0:02,0:07,0:00,0:08,2023.3.9 3:53,2023.3.9 3:55,2023.3.9 4:02,2023.3.9 4:02,2023.3.9 4:10,봄,기타 수난 ,마포구,마포소방서
675,0:01,0:02,0:06,0:03,2023.3.9 3:53,2023.3.9 3:54,2023.3.9 3:56,2023.3.9 4:02,2023.3.9 4:05,봄,기타 수난 ,마포구,119특수구조단
676,0:03,0:05,0:02,0:07,2023.3.9 7:03,2023.3.9 7:06,2023.3.9 7:11,2023.3.9 7:13,2023.3.9 7:20,봄,기타 수난 ,송파구,강동소방서
677,0:03,0:04,0:05,0:05,2023.3.9 7:03,2023.3.9 7:06,2023.3.9 7:10,2023.3.9 7:15,2023.3.9 7:20,봄,기타 수난 ,송파구,119특수구조단
678,0:01,0:04,0:00,0:22,2023.3.9 8:13,2023.3.9 8:14,2023.3.9 8:18,2023.3.9 8:18,2023.3.9 8:40,봄,수색,서초구,서초소방서
679,0:02,0:08,0:05,0:10,2023.3.9 9:05,2023.3.9 9:07,2023.3.9 9:15,2023.3.9 9:20,2023.3.9 9:30,봄,기타 수난 ,송파구,강동소방서
680,0:02,0:00,0:01,0:00,2023.3.9 9:34,2023.3.9 9:36,2023.3.9 9:36,2023.3.9 9:37,2023.3.9 9:37,봄,수색,강동구,119특수구조단
681,0:01,0:05,0:06,0:12,2023.3.9 9:36,2023.3.9 9:37,2023.3.9 9:42,2023.3.9 9:48,2023.3.9 10:00,봄,기타 수난 ,강동구,강동소방서
682,0:01,0:00,0:47,0:00,2023.3.9 15:42,2023.3.9 15:43,2023.3.9 15:43,2023.3.9 16:30,2023.3.9 16:30,봄,수색,강동구,119특수구조단
683,0:01,0:02,0:03,0:22,2023.3.9 21:32,2023.3.9 21:33,2023.3.9 21:35,2023.3.9 21:38,2023.3.9 22:00,봄,기타 수난 ,영등포구,119특수구조단
684,0:02,0:05,0:01,0:08,2023.3.9 22:14,2023.3.9 22:16,2023.3.9 22:21,2023.3.9 22:22,2023.3.9 22:30,봄,수색,서초구,119특수구조단
685,0:02,0:06,0:00,0:18,2023.3.9 23:39,2023.3.9 23:41,2023.3.9 23:47,2023.3.9 23:47,2023.3.10 0:05,봄,기타 수난 ,마포구,영등포소방서
686,0:02,0:06,0:06,0:03,2023.3.9 23:39,2023.3.9 23:41,2023.3.9 23:47,2023.3.9 23:53,2023.3.9 23:56,봄,기타 수난 ,마포구,마포소방서
687,0:02,0:02,0:03,0:13,2023.3.9 23:39,2023.3.9 23:41,2023.3.9 23:43,2023.3.9 23:46,2023.3.9 23:59,봄,기타 수난 ,마포구,119특수구조단
688,0:01,0:55,0:00,0:00,2023.3.10 9:59,2023.3.10 10:00,2023.3.10 10:55,2023.3.10 10:55,2023.3.10 10:55,봄,수색,강동구,119특수구조단
689,0:01,0:03,0:50,0:04,2023.3.10 10:02,2023.3.10 10:03,2023.3.10 10:06,2023.3.10 10:56,2023.3.10 11:00,봄,수색,서초구,119특수구조단
690,0:02,0:06,0:00,0:02,2023.3.10 11:25,2023.3.10 11:27,2023.3.10 11:33,2023.3.10 11:33,2023.3.10 11:35,봄,기타 수난 ,송파구,119특수구조단
691,0:00,0:02,0:03,0:15,2023.3.10 11:25,2023.3.10 11:25,2023.3.10 11:27,2023.3.10 11:30,2023.3.10 11:45,봄,기타 수난 ,송파구,119특수구조단
692,0:01,1:07,0:00,0:00,2023.3.10 13:52,2023.3.10 13:53,2023.3.10 15:00,2023.3.10 15:00,2023.3.10 15:00,봄,수색,강동구,119특수구조단
693,0:01,0:05,0:00,0:15,2023.3.10 14:49,2023.3.10 14:50,2023.3.10 14:55,2023.3.10 14:55,2023.3.10 15:10,봄,기타 수난 ,서초구,서초소방서
694,0:02,0:01,0:01,0:09,2023.3.10 20:07,2023.3.10 20:09,2023.3.10 20:10,2023.3.10 20:11,2023.3.10 20:20,봄,기타 수난 ,서초구,서초소방서
695,0:02,0:01,0:08,0:07,2023.3.10 20:07,2023.3.10 20:09,2023.3.10 20:10,2023.3.10 20:18,2023.3.10 20:25,봄,기타 수난 ,서초구,서초소방서
696,0:02,0:04,0:09,0:03,2023.3.10 20:07,2023.3.10 20:09,2023.3.10 20:13,2023.3.10 20:22,2023.3.10 20:25,봄,수색,서초구,119특수구조단
697,0:01,0:06,0:18,0:10,2023.3.10 21:05,2023.3.10 21:06,2023.3.10 21:12,2023.3.10 21:30,2023.3.10 21:40,봄,기타 수난 ,영등포구,영등포소방서
698,0:01,0:04,0:25,0:05,2023.3.10 21:05,2023.3.10 21:06,2023.3.10 21:10,2023.3.10 21:35,2023.3.10 21:40,봄,기타 수난 ,영등포구,마포소방서
699,0:02,0:05,0:00,0:08,2023.3.10 23:50,2023.3.10 23:52,2023.3.10 23:57,2023.3.10 23:57,2023.3.11 0:05,봄,기타 수난 ,송파구,119특수구조단
700,0:06,0:05,0:18,0:07,2023.3.11 0:02,2023.3.11 0:08,2023.3.11 0:13,2023.3.11 0:31,2023.3.11 0:38,봄,기타 수난 ,마포구,영등포소방서
701,0:01,0:04,0:05,0:05,2023.3.11 2:20,2023.3.11 2:21,2023.3.11 2:25,2023.3.11 2:30,2023.3.11 2:35,봄,기타 수난 ,마포구,마포소방서
702,0:01,0:06,0:35,0:00,2023.3.11 9:18,2023.3.11 9:19,2023.3.11 9:25,2023.3.11 10:00,2023.3.11 10:00,봄,기타 수난 ,강동구,119특수구조단
703,0:01,0:01,0:38,0:09,2023.3.11 10:21,2023.3.11 10:22,2023.3.11 10:23,2023.3.11 11:01,2023.3.11 11:10,봄,수색,서초구,119특수구조단
704,0:02,0:03,0:05,0:06,2023.3.11 11:37,2023.3.11 11:39,2023.3.11 11:42,2023.3.11 11:47,2023.3.11 11:53,봄,기타 수난 ,서초구,서초소방서
705,0:02,0:03,0:05,0:03,2023.3.11 11:37,2023.3.11 11:39,2023.3.11 11:42,2023.3.11 11:47,2023.3.11 11:50,봄,기타 수난 ,서초구,119특수구조단
706,0:01,0:53,0:25,0:31,2023.3.11 14:20,2023.3.11 14:21,2023.3.11 15:14,2023.3.11 15:39,2023.3.11 16:10,봄,사체인양,서초구,서초소방서
707,0:01,0:01,1:18,0:20,2023.3.11 14:20,2023.3.11 14:21,2023.3.11 14:22,2023.3.11 15:40,2023.3.11 16:00,봄,사체인양,서초구,119특수구조단
708,0:01,0:01,0:14,0:05,2023.3.11 15:39,2023.3.11 15:40,2023.3.11 15:41,2023.3.11 15:55,2023.3.11 16:00,봄,기타 수난 ,영등포구,119특수구조단
709,0:02,0:05,0:10,0:05,2023.3.11 16:18,2023.3.11 16:20,2023.3.11 16:25,2023.3.11 16:35,2023.3.11 16:40,봄,기타 수난 ,영등포구,용산소방서
710,0:02,0:05,0:01,0:24,2023.3.11 16:18,2023.3.11 16:20,2023.3.11 16:25,2023.3.11 16:26,2023.3.11 16:50,봄,기타 수난 ,영등포구,영등포소방서
711,0:01,0:04,0:02,0:15,2023.3.11 16:18,2023.3.11 16:19,2023.3.11 16:23,2023.3.11 16:25,2023.3.11 16:40,봄,기타 수난 ,영등포구,119특수구조단
712,0:01,0:04,1:03,0:00,2023.3.11 17:02,2023.3.11 17:03,2023.3.11 17:07,2023.3.11 18:10,2023.3.11 18:10,봄,기타 수난 ,강동구,119특수구조단
713,0:03,0:06,0:01,0:21,2023.3.11 17:04,2023.3.11 17:07,2023.3.11 17:13,2023.3.11 17:14,2023.3.11 17:35,봄,기타 수난 ,송파구,광진소방서
714,0:03,0:06,0:01,0:21,2023.3.11 17:04,2023.3.11 17:07,2023.3.11 17:13,2023.3.11 17:14,2023.3.11 17:35,봄,수색,송파구,광진소방서
715,0:03,0:06,0:01,0:16,2023.3.11 17:04,2023.3.11 17:07,2023.3.11 17:13,2023.3.11 17:14,2023.3.11 17:30,봄,기타 수난 ,송파구,119특수구조단
716,0:03,0:06,0:07,0:05,2023.3.11 17:04,2023.3.11 17:07,2023.3.11 17:13,2023.3.11 17:20,2023.3.11 17:25,봄,기타 수난 ,송파구,119특수구조단
717,0:02,0:03,0:01,0:07,2023.3.11 19:17,2023.3.11 19:19,2023.3.11 19:22,2023.3.11 19:23,2023.3.11 19:30,봄,기타 수난 ,영등포구,영등포소방서
718,0:01,0:04,0:00,0:08,2023.3.11 19:17,2023.3.11 19:18,2023.3.11 19:22,2023.3.11 19:22,2023.3.11 19:30,봄,기타 수난 ,영등포구,119특수구조단
719,0:00,0:03,0:00,0:09,2023.3.11 19:33,2023.3.11 19:33,2023.3.11 19:36,2023.3.11 19:36,2023.3.11 19:45,봄,기타 수난 ,마포구,마포소방서
720,0:00,0:01,0:00,0:06,2023.3.11 19:33,2023.3.11 19:33,2023.3.11 19:34,2023.3.11 19:34,2023.3.11 19:40,봄,기타 수난 ,마포구,119특수구조단
721,0:01,0:03,0:00,0:07,2023.3.11 23:04,2023.3.11 23:05,2023.3.11 23:08,2023.3.11 23:08,2023.3.11 23:15,봄,기타 수난 ,용산구,119특수구조단
722,0:01,0:05,0:01,0:08,2023.3.11 23:25,2023.3.11 23:26,2023.3.11 23:31,2023.3.11 23:32,2023.3.11 23:40,봄,기타 수난 ,마포구,영등포소방서
723,0:01,0:02,0:12,0:10,2023.3.11 23:25,2023.3.11 23:26,2023.3.11 23:28,2023.3.11 23:40,2023.3.11 23:50,봄,기타 수난 ,마포구,119특수구조단
724,0:03,0:09,0:30,0:05,2023.3.12 0:38,2023.3.12 0:41,2023.3.12 0:50,2023.3.12 1:20,2023.3.12 1:25,봄,수색,용산구,용산소방서
725,0:01,0:03,0:01,0:05,2023.3.12 0:45,2023.3.12 0:46,2023.3.12 0:49,2023.3.12 0:50,2023.3.12 0:55,봄,기타 수난 ,강남구,광진소방서
726,0:01,0:03,0:03,0:08,2023.3.12 0:45,2023.3.12 0:46,2023.3.12 0:49,2023.3.12 0:52,2023.3.12 1:00,봄,기타 수난 ,강남구,119특수구조단
727,0:01,0:05,0:00,0:05,2023.3.12 4:44,2023.3.12 4:45,2023.3.12 4:50,2023.3.12 4:50,2023.3.12 4:55,봄,기타 수난 ,마포구,마포소방서
728,0:01,0:02,0:03,0:05,2023.3.12 4:44,2023.3.12 4:45,2023.3.12 4:47,2023.3.12 4:50,2023.3.12 4:55,봄,기타 수난 ,마포구,119특수구조단
729,0:01,0:00,0:47,0:00,2023.3.12 9:12,2023.3.12 9:13,2023.3.12 9:13,2023.3.12 10:00,2023.3.12 10:00,봄,수색,강동구,119특수구조단
730,0:01,0:04,0:54,0:00,2023.3.12 10:01,2023.3.12 10:02,2023.3.12 10:06,2023.3.12 11:00,2023.3.12 11:00,봄,수색,용산구,119특수구조단
731,0:01,0:05,0:02,0:12,2023.3.12 11:03,2023.3.12 11:04,2023.3.12 11:09,2023.3.12 11:11,2023.3.12 11:23,봄,기타 수난 ,마포구,영등포소방서
732,0:01,0:02,0:02,0:12,2023.3.12 11:03,2023.3.12 11:04,2023.3.12 11:06,2023.3.12 11:08,2023.3.12 11:20,봄,기타 수난 ,마포구,119특수구조단
733,0:01,0:04,0:06,0:00,2023.3.12 13:38,2023.3.12 13:39,2023.3.12 13:43,2023.3.12 13:49,2023.3.12 13:49,봄,수색,서초구,119특수구조단
734,0:01,0:01,0:40,0:00,2023.3.12 13:48,2023.3.12 13:49,2023.3.12 13:50,2023.3.12 14:30,2023.3.12 14:30,봄,수색,용산구,119특수구조단
735,0:01,0:00,0:34,0:00,2023.3.12 16:10,2023.3.12 16:11,2023.3.12 16:11,2023.3.12 16:45,2023.3.12 16:45,봄,수색,강동구,119특수구조단
736,0:03,0:05,0:01,0:14,2023.3.12 16:22,2023.3.12 16:25,2023.3.12 16:30,2023.3.12 16:31,2023.3.12 16:45,봄,고립,영등포구,영등포소방서
737,0:03,0:05,0:01,0:19,2023.3.12 16:22,2023.3.12 16:25,2023.3.12 16:30,2023.3.12 16:31,2023.3.12 16:50,봄,고립,영등포구,마포소방서
738,0:03,0:01,0:02,0:42,2023.3.12 16:22,2023.3.12 16:25,2023.3.12 16:26,2023.3.12 16:28,2023.3.12 17:10,봄,기타 수난 ,영등포구,119특수구조단
739,0:01,0:01,0:02,0:05,2023.3.12 21:26,2023.3.12 21:27,2023.3.12 21:28,2023.3.12 21:30,2023.3.12 21:35,봄,기타 수난 ,마포구,119특수구조단
740,0:01,1:00,0:00,0:00,2023.3.13 9:59,2023.3.13 10:00,2023.3.13 11:00,2023.3.13 11:00,2023.3.13 11:00,봄,수색,강동구,119특수구조단
741,0:02,0:03,0:44,0:18,2023.3.13 10:11,2023.3.13 10:13,2023.3.13 10:16,2023.3.13 11:00,2023.3.13 11:18,봄,수색,서초구,119특수구조단
742,0:01,0:03,0:49,0:08,2023.3.13 14:17,2023.3.13 14:18,2023.3.13 14:21,2023.3.13 15:10,2023.3.13 15:18,봄,수색,용산구,119특수구조단
743,0:01,0:51,0:00,0:00,2023.3.13 16:03,2023.3.13 16:04,2023.3.13 16:55,2023.3.13 16:55,2023.3.13 16:55,봄,수색,강동구,119특수구조단
744,0:01,0:03,0:07,0:05,2023.3.13 21:17,2023.3.13 21:18,2023.3.13 21:21,2023.3.13 21:28,2023.3.13 21:33,봄,기타 수난 ,마포구,마포소방서
745,0:01,0:04,0:06,0:07,2023.3.13 22:27,2023.3.13 22:28,2023.3.13 22:32,2023.3.13 22:38,2023.3.13 22:45,봄,수색,마포구,영등포소방서
746,0:01,0:07,0:13,0:05,2023.3.14 1:14,2023.3.14 1:15,2023.3.14 1:22,2023.3.14 1:35,2023.3.14 1:40,봄,기타 수난 ,용산구,용산소방서
747,0:01,0:04,0:05,0:12,2023.3.14 1:38,2023.3.14 1:39,2023.3.14 1:43,2023.3.14 1:48,2023.3.14 2:00,봄,기타 수난 ,용산구,용산소방서
748,0:01,0:04,0:09,0:13,2023.3.14 1:38,2023.3.14 1:39,2023.3.14 1:43,2023.3.14 1:52,2023.3.14 2:05,봄,기타 수난 ,용산구,용산소방서
749,0:02,0:03,0:06,0:04,2023.3.14 2:25,2023.3.14 2:27,2023.3.14 2:30,2023.3.14 2:36,2023.3.14 2:40,봄,기타 수난 ,송파구,119특수구조단
750,0:01,0:05,0:54,0:00,2023.3.14 9:30,2023.3.14 9:31,2023.3.14 9:36,2023.3.14 10:30,2023.3.14 10:30,봄,기타 수난 ,강동구,119특수구조단
751,0:01,0:01,0:39,0:10,2023.3.14 10:19,2023.3.14 10:20,2023.3.14 10:21,2023.3.14 11:00,2023.3.14 11:10,봄,수색,강남구,119특수구조단
752,0:01,0:07,0:11,0:25,2023.3.14 11:16,2023.3.14 11:17,2023.3.14 11:24,2023.3.14 11:35,2023.3.14 12:00,봄,기타 수난 ,송파구,광진소방서
753,0:01,0:07,0:11,0:15,2023.3.14 11:16,2023.3.14 11:17,2023.3.14 11:24,2023.3.14 11:35,2023.3.14 11:50,봄,기타 수난 ,송파구,송파소방서
754,0:01,0:07,0:06,0:00,2023.3.14 11:16,2023.3.14 11:17,2023.3.14 11:24,2023.3.14 11:30,2023.3.14 11:30,봄,기타 수난 ,송파구,119특수구조단
755,0:01,0:06,0:43,0:00,2023.3.14 13:00,2023.3.14 13:01,2023.3.14 13:07,2023.3.14 13:50,2023.3.14 13:50,봄,수색,강남구,강남소방서
756,0:01,0:01,0:18,0:10,2023.3.14 13:00,2023.3.14 13:01,2023.3.14 13:02,2023.3.14 13:20,2023.3.14 13:30,봄,기타 수난 ,강남구,119특수구조단
757,0:01,0:03,0:04,0:08,2023.3.14 13:14,2023.3.14 13:15,2023.3.14 13:18,2023.3.14 13:22,2023.3.14 13:30,봄,기타 수난 ,영등포구,119특수구조단
758,0:01,0:01,0:50,0:10,2023.3.14 15:08,2023.3.14 15:09,2023.3.14 15:10,2023.3.14 16:00,2023.3.14 16:10,봄,수색,서초구,119특수구조단
759,0:02,0:05,0:50,0:00,2023.3.14 16:13,2023.3.14 16:15,2023.3.14 16:20,2023.3.14 17:10,2023.3.14 17:10,봄,기타 수난 ,강동구,119특수구조단
760,0:01,0:06,0:07,0:12,2023.3.14 22:51,2023.3.14 22:52,2023.3.14 22:58,2023.3.14 23:05,2023.3.14 23:17,봄,기타 수난 ,강서구,119특수구조단
761,0:00,0:02,0:44,0:23,2023.3.14 23:17,2023.3.14 23:17,2023.3.14 23:19,2023.3.15 0:03,2023.3.15 0:26,봄,기타 수난 ,강서구,119특수구조단
762,0:02,0:06,0:02,0:14,2023.3.15 0:11,2023.3.15 0:13,2023.3.15 0:19,2023.3.15 0:21,2023.3.15 0:35,봄,기타 수난 ,용산구,119특수구조단
763,0:00,0:02,0:05,0:07,2023.3.15 0:26,2023.3.15 0:26,2023.3.15 0:28,2023.3.15 0:33,2023.3.15 0:40,봄,기타 수난 ,영등포구,119특수구조단
764,0:02,0:06,0:04,0:03,2023.3.15 2:20,2023.3.15 2:22,2023.3.15 2:28,2023.3.15 2:32,2023.3.15 2:35,봄,기타 수난 ,강동구,강동소방서
765,0:02,0:03,0:15,0:00,2023.3.15 2:20,2023.3.15 2:22,2023.3.15 2:25,2023.3.15 2:40,2023.3.15 2:40,봄,기타 수난 ,강동구,119특수구조단
766,0:01,0:00,0:31,0:00,2023.3.15 9:38,2023.3.15 9:39,2023.3.15 9:39,2023.3.15 10:10,2023.3.15 10:10,봄,수색,강동구,119특수구조단
767,0:01,0:08,0:50,0:00,2023.3.15 10:01,2023.3.15 10:02,2023.3.15 10:10,2023.3.15 11:00,2023.3.15 11:00,봄,수색,서초구,119특수구조단
768,0:00,0:06,0:02,0:05,2023.3.15 11:18,2023.3.15 11:18,2023.3.15 11:24,2023.3.15 11:26,2023.3.15 11:31,봄,기타 수난 ,광진구,광진소방서
